date,year,low,second,third,fourth,high,powerball
8/17/2011,2011,18,28,31,48,52,37
8/20/2011,2011,2,17,23,28,47,36
8/24/2011,2011,9,13,47,49,53,39
8/27/2011,2011,2,12,25,54,58,14
8/31/2011,2011,13,19,35,47,57,29
9/3/2011,2011,15,25,52,53,54,2
9/7/2011,2011,3,5,18,27,54,13
9/10/2011,2011,4,19,22,32,53,24
9/14/2011,2011,16,41,42,50,59,5
9/17/2011,2011,6,20,22,32,43,11
9/21/2011,2011,12,47,48,52,55,13
9/24/2011,2011,3,4,12,27,44,26
9/28/2011,2011,30,41,50,51,53,8
10/1/2011,2011,1,12,23,27,43,31
10/5/2011,2011,7,20,43,46,54,17
10/8/2011,2011,3,27,35,37,45,31
10/12/2011,2011,10,12,23,43,47,18
10/15/2011,2011,5,10,24,38,43,1
10/19/2011,2011,16,26,35,52,58,2
10/22/2011,2011,3,8,23,30,58,13
10/26/2011,2011,1,18,21,39,55,6
10/29/2011,2011,11,16,40,51,56,38
11/2/2011,2011,12,14,34,39,46,36
11/5/2011,2011,2,33,39,40,43,26
11/9/2011,2011,5,35,57,58,59,12
11/12/2011,2011,4,35,36,51,56,8
11/16/2011,2011,13,22,25,39,51,28
11/19/2011,2011,9,16,17,28,30,11
11/23/2011,2011,4,30,35,57,59,25
11/26/2011,2011,20,37,39,45,55,28
11/30/2011,2011,2,6,34,35,47,22
12/3/2011,2011,5,18,33,43,45,8
12/7/2011,2011,3,14,20,39,40,37
12/10/2011,2011,4,19,33,41,59,9
12/14/2011,2011,2,24,46,52,56,19
12/17/2011,2011,13,28,49,51,59,33
12/21/2011,2011,10,13,15,31,54,18
12/24/2011,2011,14,16,30,51,52,19
12/28/2011,2011,16,21,27,41,45,14
12/31/2011,2011,5,23,25,28,40,34
1/4/2012,2012,21,35,46,47,50,2
1/7/2012,2012,3,21,24,38,39,24
1/11/2012,2012,5,19,29,45,47,25
1/14/2012,2012,10,30,36,38,41,1
1/18/2012,2012,6,29,34,44,50,28
1/21/2012,2012,12,24,43,44,45,7
1/25/2012,2012,4,19,28,29,47,5
1/28/2012,2012,5,33,41,54,59,13
2/1/2012,2012,8,13,17,34,59,35
2/4/2012,2012,15,23,43,45,56,7
2/8/2012,2012,17,28,38,39,51,33
2/11/2012,2012,1,10,37,52,57,11
2/15/2012,2012,11,12,32,52,56,11
2/18/2012,2012,23,28,50,56,59,5
2/22/2012,2012,7,16,17,39,51,32
2/25/2012,2012,6,11,42,53,54,7
2/29/2012,2012,1,4,11,23,26,14
3/3/2012,2012,29,30,45,47,49,35
3/7/2012,2012,12,35,45,46,47,12
3/10/2012,2012,5,14,17,20,41,5
3/14/2012,2012,1,8,41,46,59,24
3/17/2012,2012,11,14,49,55,58,30
3/21/2012,2012,32,43,53,55,56,6
3/24/2012,2012,1,15,35,37,47,8
3/28/2012,2012,11,16,29,50,58,33
3/31/2012,2012,5,14,36,54,58,27
4/4/2012,2012,1,24,33,45,49,6
4/7/2012,2012,5,13,17,20,30,18
4/11/2012,2012,16,23,42,44,47,2
4/14/2012,2012,14,15,16,19,24,2
4/18/2012,2012,20,22,39,46,49,29
4/21/2012,2012,6,8,20,42,51,16
4/25/2012,2012,4,25,29,34,43,29
4/28/2012,2012,31,39,40,57,58,33
5/2/2012,2012,7,8,33,38,50,29
5/5/2012,2012,9,12,20,44,59,23
5/9/2012,2012,1,7,11,55,56,1
5/12/2012,2012,10,24,35,53,58,22
5/16/2012,2012,3,7,21,28,43,2
5/19/2012,2012,8,13,35,46,51,30
5/23/2012,2012,4,7,26,53,59,32
5/26/2012,2012,13,14,41,49,59,14
5/30/2012,2012,9,10,24,52,56,14
6/2/2012,2012,9,10,17,29,45,33
6/6/2012,2012,19,30,33,48,59,27
6/9/2012,2012,18,22,45,56,57,27
6/13/2012,2012,7,10,14,33,57,18
6/16/2012,2012,8,14,15,16,27,26
6/20/2012,2012,11,17,29,56,57,14
6/23/2012,2012,1,3,41,44,53,30
6/27/2012,2012,6,34,40,46,58,6
6/30/2012,2012,7,15,20,41,44,22
7/4/2012,2012,14,19,35,39,56,33
7/7/2012,2012,3,5,29,39,59,29
7/11/2012,2012,5,22,36,49,55,23
7/14/2012,2012,4,16,32,37,46,13
7/18/2012,2012,2,5,20,23,57,3
7/21/2012,2012,9,31,38,54,56,20
7/25/2012,2012,3,14,35,38,46,16
7/28/2012,2012,5,6,13,36,50,13
8/1/2012,2012,3,16,48,56,58,4
8/4/2012,2012,19,30,48,53,55,18
8/8/2012,2012,3,7,11,15,28,12
8/11/2012,2012,4,13,39,46,51,1
8/15/2012,2012,6,27,46,51,56,21
8/18/2012,2012,14,26,41,55,59,1
8/22/2012,2012,22,29,31,47,55,19
8/25/2012,2012,1,6,7,20,49,23
8/29/2012,2012,25,28,49,54,56,28
9/1/2012,2012,8,11,21,44,49,22
9/5/2012,2012,4,19,26,42,51,29
9/8/2012,2012,6,20,34,44,48,29
9/12/2012,2012,24,33,36,48,56,6
9/15/2012,2012,3,20,26,43,48,1
9/19/2012,2012,1,5,8,39,50,23
9/22/2012,2012,2,16,18,40,42,33
9/26/2012,2012,13,26,39,41,42,10
9/29/2012,2012,14,18,28,29,57,8
10/3/2012,2012,17,23,36,55,59,10
10/6/2012,2012,15,26,34,36,59,35
10/10/2012,2012,18,26,29,35,43,28
10/13/2012,2012,2,5,25,26,49,18
10/17/2012,2012,1,7,10,23,42,35
10/20/2012,2012,4,21,28,31,44,10
10/24/2012,2012,3,18,21,23,50,4
10/27/2012,2012,22,32,34,36,56,33
10/31/2012,2012,1,27,31,45,48,5
11/3/2012,2012,4,7,9,30,54,25
11/7/2012,2012,32,34,45,52,58,20
11/10/2012,2012,32,42,50,54,55,32
11/14/2012,2012,8,10,30,44,58,13
11/17/2012,2012,3,15,27,58,59,20
11/21/2012,2012,8,18,24,30,39,26
11/24/2012,2012,22,32,37,44,50,34
11/28/2012,2012,5,16,22,23,29,6
12/1/2012,2012,3,10,19,36,46,3
12/5/2012,2012,13,17,19,27,38,12
12/8/2012,2012,7,23,26,40,53,21
12/12/2012,2012,8,10,25,36,44,28
12/15/2012,2012,15,23,40,44,55,14
12/19/2012,2012,5,8,20,23,30,3
12/22/2012,2012,1,18,35,39,44,11
12/26/2012,2012,11,13,23,43,54,4
12/29/2012,2012,36,46,50,52,55,14
1/2/2013,2013,18,20,28,35,53,20
1/5/2013,2013,26,30,49,51,54,25
1/9/2013,2013,11,13,20,27,59,26
1/12/2013,2013,10,14,21,23,47,7
1/16/2013,2013,9,21,28,32,51,35
1/19/2013,2013,8,28,29,34,38,35
1/23/2013,2013,11,12,24,43,45,9
1/26/2013,2013,3,22,26,41,49,18
1/30/2013,2013,14,16,32,47,52,16
2/2/2013,2013,11,16,33,40,41,34
2/6/2013,2013,5,27,36,38,41,12
2/9/2013,2013,5,6,16,36,58,3
2/13/2013,2013,12,23,25,27,43,29
2/16/2013,2013,15,16,46,50,58,29
2/20/2013,2013,3,17,19,25,32,17
2/23/2013,2013,2,5,31,39,41,29
2/27/2013,2013,3,14,20,34,48,21
3/2/2013,2013,3,8,13,41,56,16
3/6/2013,2013,6,10,23,41,45,1
3/9/2013,2013,10,37,40,46,52,12
3/13/2013,2013,5,9,28,32,38,29
3/16/2013,2013,3,7,21,44,53,16
3/20/2013,2013,13,14,17,43,54,15
3/23/2013,2013,17,29,31,52,53,31
3/27/2013,2013,7,37,43,48,52,16
3/30/2013,2013,11,23,26,46,55,27
4/3/2013,2013,1,6,8,12,35,3
4/6/2013,2013,4,7,8,29,39,24
4/10/2013,2013,1,36,40,52,53,20
4/13/2013,2013,10,12,31,56,57,33
4/17/2013,2013,13,18,36,48,58,28
4/20/2013,2013,6,8,30,39,48,20
4/24/2013,2013,9,19,31,56,59,2
4/27/2013,2013,3,23,48,54,55,5
5/1/2013,2013,22,26,31,54,55,18
5/4/2013,2013,7,12,26,36,40,17
5/8/2013,2013,21,22,26,30,57,27
5/11/2013,2013,6,13,19,23,43,16
5/15/2013,2013,2,11,26,34,41,32
5/18/2013,2013,10,13,14,22,52,11
5/22/2013,2013,9,31,35,41,57,26
5/25/2013,2013,2,6,19,21,27,25
5/29/2013,2013,9,14,17,49,57,2
6/1/2013,2013,22,28,33,53,59,14
6/5/2013,2013,4,26,33,36,55,32
6/8/2013,2013,2,11,22,26,32,19
6/12/2013,2013,16,22,23,42,55,32
6/15/2013,2013,28,36,40,48,55,1
6/19/2013,2013,7,46,47,52,57,17
6/22/2013,2013,13,19,23,33,57,28
6/26/2013,2013,1,18,33,39,46,33
6/29/2013,2013,8,28,30,53,56,16
7/3/2013,2013,3,6,29,40,51,4
7/6/2013,2013,2,13,35,36,52,11
7/10/2013,2013,30,31,45,55,59,27
7/13/2013,2013,2,8,22,35,37,6
7/17/2013,2013,1,22,34,38,42,17
7/20/2013,2013,14,25,27,38,58,6
7/24/2013,2013,9,29,40,44,54,7
7/27/2013,2013,9,23,40,53,58,6
7/31/2013,2013,8,24,39,49,59,5
8/3/2013,2013,21,24,36,42,45,15
8/7/2013,2013,5,25,30,58,59,32
8/10/2013,2013,4,12,14,37,58,13
8/14/2013,2013,4,11,17,43,51,20
8/17/2013,2013,18,21,46,54,56,23
8/21/2013,2013,30,40,42,46,48,23
8/24/2013,2013,12,17,25,45,59,19
8/28/2013,2013,6,7,9,19,32,13
8/31/2013,2013,2,7,25,40,56,20
9/4/2013,2013,2,9,26,45,47,11
9/7/2013,2013,2,19,22,26,45,24
9/11/2013,2013,11,19,33,42,52,33
9/14/2013,2013,1,17,25,37,44,20
9/18/2013,2013,7,10,22,32,35,19
9/21/2013,2013,12,17,45,54,58,13
9/25/2013,2013,2,7,17,49,53,23
9/28/2013,2013,14,47,52,53,54,5
10/2/2013,2013,4,6,25,42,51,17
10/5/2013,2013,11,12,17,39,40,5
10/9/2013,2013,3,9,19,33,38,18
10/12/2013,2013,8,10,26,57,58,4
10/16/2013,2013,3,26,28,34,42,28
10/19/2013,2013,9,33,54,56,57,5
10/23/2013,2013,3,23,31,34,47,13
10/26/2013,2013,4,6,34,49,56,29
10/30/2013,2013,2,36,40,49,54,10
11/2/2013,2013,13,23,24,27,40,17
11/6/2013,2013,1,5,10,15,49,22
11/9/2013,2013,3,9,37,49,56,32
11/13/2013,2013,5,31,50,55,56,9
11/16/2013,2013,10,29,37,44,59,10
11/20/2013,2013,4,18,23,32,45,7
11/23/2013,2013,5,12,43,52,55,10
11/27/2013,2013,18,25,50,55,57,17
11/30/2013,2013,5,26,44,45,57,29
12/4/2013,2013,6,9,11,31,44,25
12/7/2013,2013,13,20,32,45,48,17
12/11/2013,2013,1,10,13,18,19,27
12/14/2013,2013,14,25,32,33,41,34
12/18/2013,2013,7,24,37,39,40,1
12/21/2013,2013,25,36,40,45,51,8
12/25/2013,2013,23,28,38,39,56,32
12/28/2013,2013,8,35,44,51,56,18
1/1/2014,2014,15,24,40,48,52,23
1/4/2014,2014,19,20,37,41,58,14
1/8/2014,2014,10,28,39,47,58,22
1/11/2014,2014,10,15,33,48,54,34
1/15/2014,2014,7,8,9,24,29,25
1/18/2014,2014,13,14,19,31,38,25
1/22/2014,2014,1,2,7,9,55,29
1/25/2014,2014,8,12,18,55,57,2
1/29/2014,2014,11,23,28,32,47,20
2/1/2014,2014,5,12,15,27,38,7
2/5/2014,2014,8,17,32,57,59,24
2/8/2014,2014,24,25,34,37,54,29
2/12/2014,2014,36,44,49,52,57,1
2/15/2014,2014,2,9,14,21,23,3
2/19/2014,2014,1,17,35,49,54,34
2/22/2014,2014,2,3,13,14,54,4
2/26/2014,2014,11,12,17,38,42,2
3/1/2014,2014,3,8,25,30,47,13
3/5/2014,2014,3,7,9,26,54,19
3/8/2014,2014,10,14,24,32,41,30
3/12/2014,2014,14,15,28,37,54,10
3/15/2014,2014,2,5,34,51,58,9
3/19/2014,2014,2,19,23,34,43,14
3/22/2014,2014,13,28,31,55,58,15
3/26/2014,2014,28,33,41,44,59,21
3/29/2014,2014,2,3,12,27,38,17
4/2/2014,2014,8,13,19,22,53,24
4/5/2014,2014,11,21,26,33,34,29
4/9/2014,2014,9,14,44,48,49,29
4/12/2014,2014,14,26,45,54,55,20
4/16/2014,2014,34,39,42,44,59,8
4/19/2014,2014,5,6,29,35,51,21
4/23/2014,2014,19,25,29,36,48,12
4/26/2014,2014,3,7,22,30,33,20
4/30/2014,2014,2,9,11,19,50,32
5/3/2014,2014,5,15,16,46,49,26
5/7/2014,2014,17,29,31,48,49,34
5/10/2014,2014,4,31,41,47,55,1
5/14/2014,2014,7,33,39,52,55,33
5/17/2014,2014,23,32,39,47,49,22
5/21/2014,2014,4,20,34,39,58,31
5/24/2014,2014,15,16,28,49,55,18
5/28/2014,2014,2,24,28,32,59,25
5/31/2014,2014,15,27,31,34,48,1
6/4/2014,2014,1,7,10,22,49,24
6/7/2014,2014,28,30,35,58,59,15
6/11/2014,2014,14,18,25,33,49,23
6/14/2014,2014,9,33,42,45,54,30
6/18/2014,2014,6,9,29,52,59,7
6/21/2014,2014,5,6,37,41,54,26
6/25/2014,2014,10,20,25,50,53,35
6/28/2014,2014,8,12,34,43,56,9
7/2/2014,2014,8,18,45,53,58,35
7/5/2014,2014,24,34,36,57,58,11
7/9/2014,2014,9,25,42,55,57,14
7/12/2014,2014,2,3,7,23,51,26
7/16/2014,2014,5,15,18,26,32,35
7/19/2014,2014,10,17,25,45,53,9
7/23/2014,2014,4,10,12,22,31,3
7/26/2014,2014,24,28,30,38,39,16
7/30/2014,2014,13,30,42,49,53,29
8/2/2014,2014,12,26,44,46,47,29
8/6/2014,2014,1,8,24,28,49,24
8/9/2014,2014,3,12,31,34,51,24
8/13/2014,2014,8,37,39,40,52,24
8/16/2014,2014,7,8,17,48,59,9
8/20/2014,2014,4,8,21,38,40,3
8/23/2014,2014,28,32,35,36,52,31
8/27/2014,2014,17,24,26,45,46,19
8/30/2014,2014,5,28,31,52,59,27
9/3/2014,2014,2,16,43,45,51,35
9/6/2014,2014,9,29,31,43,50,18
9/10/2014,2014,2,14,39,40,43,13
9/13/2014,2014,1,6,16,37,53,27
9/17/2014,2014,18,25,36,48,50,23
9/20/2014,2014,22,23,30,37,39,16
9/24/2014,2014,7,14,21,24,41,26
9/27/2014,2014,2,11,35,52,54,13
10/1/2014,2014,1,4,18,20,45,7
10/4/2014,2014,13,18,24,25,33,31
10/8/2014,2014,5,16,31,46,50,18
10/11/2014,2014,10,19,37,38,39,28
10/15/2014,2014,5,7,19,27,28,20
10/18/2014,2014,20,26,27,36,54,19
10/22/2014,2014,29,30,40,42,50,16
10/25/2014,2014,6,10,51,54,57,12
10/29/2014,2014,25,28,48,57,59,16
11/1/2014,2014,1,3,13,25,38,17
11/5/2014,2014,2,11,19,21,42,34
11/8/2014,2014,9,19,33,38,54,15
11/12/2014,2014,37,39,51,52,55,11
11/15/2014,2014,13,16,33,35,51,28
11/19/2014,2014,6,36,38,48,51,17
11/22/2014,2014,23,49,53,54,57,35
11/26/2014,2014,16,17,22,46,54,35
11/29/2014,2014,13,24,30,42,48,27
12/3/2014,2014,25,30,32,46,54,26
12/6/2014,2014,12,15,22,43,49,14
12/10/2014,2014,34,44,48,54,55,10
12/13/2014,2014,5,13,28,43,55,33
12/17/2014,2014,22,31,38,47,48,15
12/20/2014,2014,14,15,19,31,56,5
12/24/2014,2014,11,12,46,47,50,22
12/27/2014,2014,7,10,11,14,36,15
12/31/2014,2014,17,27,37,40,53,35
1/3/2015,2015,4,18,43,46,55,25
1/7/2015,2015,14,15,47,49,59,10
1/10/2015,2015,2,9,19,28,29,19
1/14/2015,2015,2,4,10,41,53,22
1/17/2015,2015,15,16,23,27,36,9
1/21/2015,2015,11,12,15,28,57,23
1/24/2015,2015,16,19,20,29,33,10
1/28/2015,2015,12,24,35,36,49,1
1/31/2015,2015,5,11,16,26,50,34
2/4/2015,2015,24,36,51,52,56,22
2/7/2015,2015,5,10,21,34,58,33
2/11/2015,2015,11,13,25,39,54,19
2/14/2015,2015,1,24,44,45,51,28
2/18/2015,2015,1,9,29,32,49,22
